Column1,symbol,Coin,price,90D %
0,LUNC,Terra Classic,0.000361161,520.3635443
1,ETC,Ethereum Classic,35.05417296,152.3994217
2,CHZ,Chiliz,0.203591787,125.5841104
3,ATOM,Cosmos,14.44512976,121.0892297
4,MATIC,Polygon,0.854765912,120.2046981
5,QNT,Quant,100.5960195,116.6271944
6,TON,Toncoin,1.797425205,103.2726147
7,EOS,EOS,1.554434855,72.57017248
8,UNI,Uniswap,6.177546368,67.99633717
9,APE,ApeCoin,5.305556241,62.39772588
10,SHIB,Shiba Inu,1.21656E-05,53.18954489
11,AAVE,Aave,84.91011189,47.52940417
12,stETH,Lido Staked ETH,1543.828567,47.20426708
13,ETH,Ethereum,1588.068602,43.67221593
14,NEAR,NEAR Protocol,4.566528193,42.23742227
15,LTC,Litecoin,62.28927101,40.17424227
16,BIT,BitDAO,0.592569096,37.16114411
17,XMR,Monero,153.4905897,35.33180672
18,BNB,BNB,282.3872096,33.51597568
19,WBNB,Wrapped BNB,281.5529079,33.06523617
20,FLOW,Flow,1.927824256,29.68206667
21,ICP,Internet Computer,6.668381537,26.21245614
22,AVAX,Avalanche,19.67128242,25.36786149
23,SOL,Solana,34.86924751,20.38251564
24,FTT,FTX Token,26.78525883,15.7642639
25,XTZ,Tezos,1.561979317,14.57379067
26,LINK,Chainlink,7.22796296,14.1961229
27,FIL,Filecoin,6.040478261,13.47792255
28,HEX,HEX,0.038104526,13.32921239
29,DOGE,Dogecoin,0.0605058,12.15571742
30,EGLD,Elrond,49.33664754,11.92942051
31,XRP,XRP,0.339838366,9.98251973
32,TRX,TRON,0.061622768,9.14078036
33,WTRX,Wrapped TRON,0.06169973,9.00534485
34,SAND,The Sandbox,0.904445288,8.64686805
35,VET,VeChain,0.023799426,4.16629404
36,HBAR,Hedera,0.066149631,3.27546713
37,BCH,Bitcoin Cash,120.9045227,2.87493375
38,CRO,Cronos,0.113573763,2.32323467
39,YOUC,yOUcash,0.511446732,2.30328828
40,BSV,Bitcoin SV,52.50914223,2.03084622
41,DOT,Polkadot,7.253803574,1.37901749
42,THETA,Theta Network,1.113570906,1.21199054
43,USDT,Tether,1.000091381,0.14719747
44,USDC,USD Coin,0.999906436,-0.02049607
45,BUSD,Binance USD,1.000176609,-0.1523262
46,TUSD,TrueUSD,1.000033134,-0.1615422
47,DAI,Dai,0.996937247,-0.28561535
48,WBTC,Wrapped Bitcoin,21068.13187,-0.42088437
49,ADA,Cardano,0.468207161,-0.50806086
50,FRAX,Frax,0.989845832,-0.72881544
51,BTC,Bitcoin,21000.7916,-0.95037587
52,BTCB,Bitcoin BEP2,21021.70016,-1.00062542
53,ALGO,Algorand,0.301113778,-1.07827328
54,LEO,UNUS SED LEO,4.937472088,-1.91534723
55,AXS,Axie Infinity,13.35257408,-2.27420177
56,XLM,Stellar,0.107399632,-2.31027506
57,MANA,Decentraland,0.74864598,-6.33324317
58,XCN,Chain,0.070742109,-23.34015956
