,Year,Player,Share,Predictions,Rk,Final_Predicted_Rk,Final_Predicted_Winner
0,1987,Magic Johnson,0.94,0.976002,1,1,Magic Johnson
1,1988,Michael Jordan,0.831,0.51134,1,1,Michael Jordan
2,1989,Magic Johnson,0.782,0.59664,1,1,Magic Johnson
3,1990,Magic Johnson,0.691,0.782813,1,1,Magic Johnson
4,1991,Michael Jordan,0.928,0.656683,1,1,Michael Jordan
5,1992,Michael Jordan,0.938,0.945602,1,1,Michael Jordan
6,1993,Charles Barkley,0.852,0.613414,1,2,Michael Jordan
7,1994,Hakeem Olajuwon,0.88,0.301703,1,2,David Robinson
8,1995,David Robinson,0.858,0.895086,1,1,David Robinson
9,1996,Michael Jordan,0.986,0.926623,1,1,Michael Jordan
10,1997,Karl Malone,0.857,0.575515,1,2,Michael Jordan
11,1998,Michael Jordan,0.934,0.426946,1,2,Karl Malone
12,1999,Karl Malone,0.701,0.519761,1,1,Karl Malone
13,2000,Shaquille O'Neal,0.998,0.823327,1,1,Shaquille O'Neal
14,2001,Allen Iverson,0.904,0.435153,1,2,Shaquille O'Neal
15,2002,Tim Duncan,0.757,0.94428,1,1,Tim Duncan
16,2003,Tim Duncan,0.808,0.848286,1,1,Tim Duncan
17,2004,Kevin Garnett,0.991,0.893142,1,1,Kevin Garnett
18,2005,Steve Nash,0.839,0.033371,1,11,Amar'e Stoudemire
19,2006,Steve Nash,0.739,0.06133,1,9,Allen Iverson
20,2007,Dirk Nowitzki,0.882,0.489235,1,1,Dirk Nowitzki
21,2008,Kobe Bryant,0.873,0.367613,1,2,Chris Paul
22,2009,LeBron James,0.969,1.018842,1,1,LeBron James
23,2010,LeBron James,0.98,0.670101,1,1,LeBron James
24,2011,Derrick Rose,0.977,0.419629,1,4,LeBron James
25,2012,LeBron James,0.888,0.623415,1,1,LeBron James
26,2013,LeBron James,0.998,0.975048,1,1,LeBron James
27,2014,Kevin Durant,0.986,0.586357,1,1,Kevin Durant
28,2015,Stephen Curry,0.922,0.461439,1,1,Stephen Curry
29,2016,Stephen Curry,1,1.014651,1,1,Stephen Curry
30,2017,Russell Westbrook,0.879,0.425112,1,3,Kawhi Leonard
31,2018,James Harden,0.955,0.794625,1,1,James Harden
32,2019,Giannis Antetokounmpo,0.932,0.657536,1,1,Giannis Antetokounmpo
33,2020,Giannis Antetokounmpo,0.952,0.770835,1,1,Giannis Antetokounmpo
34,2021,Nikola Jokić,0.961,0.591389,1,1,Nikola Jokić
35,2022,Nikola Jokić,0.875,0.469716,1,1,Nikola Jokić
